"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-62-1","FLA-GLOSS VERDE CLARO","507","PINTURAS ESMALTES","7.5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-65-4","FLA-GLOSS TURQUESA","507","PINTURAS ESMALTES","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-66-1","FLA-GLOSS VERE TILO","507","PINTURAS ESMALTES","1.25" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-71-4","FLA-GLOSS AVELLANA CLARO","507","PINTURAS ESMALTES","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-72-1","FLA-GLOSS CAOBA","507","PINTURAS ESMALTES","1.5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-72-4","FLA-GLOSS CAOBA","507","PINTURAS ESMALTES","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-82-1","FLA-GLOSS GRIS MACHETE","507","PINTURAS ESMALTES","20.5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-82-4","FLA-GLOSS GRIS MACHETE","507","PINTURAS ESMALTES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-91-1","FLA-GLOSS NEGRO","507","PINTURAS ESMALTES","38" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-20-91-4","FLA-GLOSS NEGRO","507","PINTURAS ESMALTES","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-300-51-1","CAUCHO CLORADO AZUL","504","PINTURAS CAUCHO CLORADO","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-320-030-1","BARNIZ PARA MADERA NATURAL","800","BARNICES","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-320-030-4","BARNIZ NATURAL","800","BARNICES","6" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-320-040-4","BARNIZ P/MADERA CAOBA CLARO","800","BARNICES","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-001-1","FLA-WALL SATINADO BLANCO","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-031-1","FLA-WALL SAT.LILA CLARO","505","PINTURAS CAUCHOS","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-070-1","FLA-WALL SATINADO VERDE MANZAN","505","PINTURAS CAUCHOS","11" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-105-1","FLA-WALL SATINADO BLANCO OSTRA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-113-1","FLA-WALL SATINADO ROSADO CLARO","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-150-1","FLA WALL SAT AZUL CASCADA","505","PINTURAS CAUCHOS","19" 
